sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.428270470160533730832027581340,33,185.0,305.0,219.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255976267012219814734143656396,34,173.0,300.0,228.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.588279961785653060443376048155,35,164.0,295.0,232.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314225510290573514150951338589,36,164.0,290.0,239.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.404078170873707685978346083462,37,160.0,283.0,231.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317985349957788053367187822919,38,122.0,264.0,240.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299295739284208681161294024647,39,137.0,261.0,251.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180554489556473665306641851503,40,154.0,274.0,248.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190841483199021703703625642320,41,142.0,267.0,244.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324414494332972014367878587350,42,144.0,268.0,246.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338204535576641323546927040861,43,153.0,280.0,241.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289521797494822324266162686144,44,146.0,272.0,237.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325573635830255261177575767187,45,154.0,297.0,231.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330993901238319796335218998516,46,150.0,295.0,234.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248202825423643454650253204264,47,163.0,298.0,228.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.898650277366406924898440737210,48,173.0,316.0,221.0,372.0
