sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.121217007388745294465168188621,42,307.0,335.0,342.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252324016764233368406350916144,43,301.0,331.0,345.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706230869424463268857457500896,44,299.0,330.0,345.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195833980439486232807669080331,45,294.0,329.0,347.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251268862880319133422890837424,46,303.0,336.0,343.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127961554229324535668330962050,47,309.0,343.0,343.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145549452163264949586300262737,100,303.0,339.0,351.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185020873999911370810101830092,101,301.0,338.0,357.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163587677030056037995354937343,102,301.0,341.0,354.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269668846784564183538264313988,103,295.0,334.0,348.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141321798069488476472899000549,104,306.0,339.0,345.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268358815029398209026535516297,105,318.0,353.0,345.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.738805236085194945720030708456,163,301.0,336.0,342.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254604542852416071956571448198,164,296.0,329.0,349.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181397894235273517917577626035,165,292.0,330.0,345.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.527518261493648883542940748942,166,295.0,330.0,342.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.852363785365049945179585794235,167,298.0,329.0,337.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245498213460307490044770281882,168,313.0,349.0,334.0,371.0
