sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.198292023302783391883194879542,14,153.0,264.0,184.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265021009630197860749397137100,15,154.0,265.0,187.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126138274233720551411941564832,16,156.0,265.0,191.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159659315486906683741244548115,17,167.0,268.0,202.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181756805403777109875570343169,18,180.0,276.0,204.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105444450430079031904846162683,64,152.0,284.0,184.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154440986283341961716731708387,65,151.0,278.0,190.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.555934687761410880973341338831,66,157.0,284.0,192.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315386854101842149546975072753,67,163.0,281.0,199.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217692197038217123129489115008,114,148.0,284.0,184.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138212184508003670183075410741,115,147.0,280.0,191.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280044102689984597289925056142,116,156.0,277.0,192.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312634250336852343765621254746,117,163.0,283.0,198.0,324.0
