sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.121695225314589758819880976349,11,319.0,298.0,337.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288796895859697781068928819234,12,326.0,285.0,360.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.638517310424340361704225300164,13,335.0,277.0,372.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327649004093471193353784979479,14,334.0,254.0,372.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212108722691194343266319757022,15,337.0,253.0,387.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318374259571038904977098113073,16,332.0,248.0,390.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182615648820053316530729348463,17,328.0,239.0,398.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337682128485210967389425801465,18,321.0,233.0,378.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200693902748333081673745367798,19,334.0,257.0,379.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289906592663147899523395604058,20,315.0,264.0,381.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.780469334871955317618932647759,21,308.0,266.0,377.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.786405786128463336184420727541,22,316.0,268.0,374.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340047379862619817260672939538,23,319.0,280.0,363.0,357.0
