sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.159520903877958826743639455975,13,184.0,303.0,239.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169132963766671318742144410513,14,173.0,297.0,240.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300539676044076442750728581019,15,170.0,298.0,239.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.495421370077117518636611235186,16,166.0,295.0,234.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332127261743521148411167486760,17,160.0,295.0,239.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271895558619615263976736247259,18,158.0,277.0,243.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117690446992082422855309682271,19,145.0,273.0,249.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283205054215569629473768347687,20,169.0,284.0,251.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206941070470805256331248267483,21,161.0,278.0,237.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331942345290955088851558724095,22,177.0,274.0,225.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242766224423287936970562640048,73,187.0,323.0,242.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.743383904084978281997580698590,74,181.0,316.0,242.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183196744914008252734367985042,75,179.0,300.0,233.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168270472554014590984127697514,76,172.0,306.0,233.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.499611559820111519321090410867,77,167.0,289.0,227.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172885954186301360301066549247,78,167.0,298.0,231.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106384433306404198427290834560,79,162.0,284.0,227.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260407094101663833262970921986,80,173.0,277.0,241.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316229390040042303509879777430,81,164.0,286.0,239.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135942846127810776330942393988,82,174.0,273.0,231.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305108899894338314757525105250,83,177.0,283.0,227.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.599978412166937424457832776975,135,189.0,314.0,239.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.553556377808734932434193548351,136,184.0,298.0,248.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297459718303452818830835642954,137,166.0,290.0,254.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200378997073670800285735149270,138,172.0,303.0,230.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232548524040659382445411596937,139,172.0,301.0,231.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147985287124921970038969067506,140,167.0,292.0,232.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293156882027802236680030299247,141,163.0,283.0,245.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334926713614580391614425425083,142,168.0,280.0,233.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276580854067370650050480326557,143,167.0,277.0,244.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194049162397046821520569418275,144,168.0,286.0,239.0,354.0
