sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.410300913842967001193092482315,57,327.0,264.0,361.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226103889002563800867056684192,58,325.0,262.0,358.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273385011286003741337406458373,59,323.0,260.0,359.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146074807866006264832013255599,60,326.0,261.0,361.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.809350029852078676056943385099,61,324.0,260.0,359.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.356335579364560147352205004674,62,324.0,259.0,360.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233338202063084285718897861729,63,323.0,260.0,357.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.849052284575828713888759643005,64,317.0,258.0,358.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173301392499877920536682985890,65,319.0,260.0,355.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338184946640518764003460202036,66,317.0,259.0,354.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.991393914694716717920575482059,67,320.0,262.0,357.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.711680876063664322566003642353,68,314.0,260.0,354.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184915504377119343829754070955,69,315.0,259.0,351.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339906130366233569769101865398,70,316.0,259.0,354.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105465578791729820393002582117,71,316.0,259.0,355.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.455971619652159504601107853917,72,317.0,260.0,357.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218958310136988481982003692372,73,314.0,261.0,355.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162646630569875250636555533732,74,316.0,261.0,357.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115181305074559167771394781584,75,316.0,261.0,360.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296484466353302489402247626831,76,315.0,262.0,357.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.747751178637223710845333257137,77,315.0,262.0,360.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143339134981273529429643344284,78,319.0,261.0,359.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.772531830818849113666372678254,79,316.0,261.0,360.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277659634290871556356340734439,80,320.0,261.0,357.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278684421256751230494751924847,81,320.0,260.0,359.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.615956034281442808955531910266,82,314.0,260.0,360.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.790887872495591462403183049691,83,318.0,260.0,360.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323497101659593170529352993980,84,316.0,263.0,360.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153963256164683016776066540827,85,316.0,262.0,360.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.964178758087331959867944424323,86,315.0,256.0,357.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107229555469757679401020780633,87,315.0,256.0,362.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281344107972886383355389758578,88,315.0,256.0,356.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212853707200285713102340413302,89,315.0,254.0,360.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159090244690330679820813697257,90,317.0,257.0,355.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301572650707320629700452650692,91,321.0,252.0,350.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200968874757392098506824573684,92,322.0,250.0,350.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.863930795246817753386658729974,93,320.0,245.0,352.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105007779500352619820755612515,94,319.0,247.0,349.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244274989663760690364684061835,95,317.0,244.0,350.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187077182486299759908508593926,96,319.0,246.0,349.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291879752138112138907668186135,97,319.0,240.0,351.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.412533273170826239593225654583,98,317.0,245.0,348.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223663770685798765077607380384,99,319.0,244.0,350.0,277.0
