sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.232162775427454998095903347414,44,321.0,268.0,354.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125632895304780290925508265570,45,322.0,265.0,345.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338255003224151698898038743622,46,319.0,262.0,345.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191125325203504999698639293222,47,314.0,261.0,343.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272196286847445472665100389676,48,315.0,261.0,345.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229320258400165676801370734992,49,314.0,260.0,351.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317193517709850642043483059525,50,309.0,257.0,349.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305702881560418659943508723184,51,314.0,261.0,348.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266979865990234500128954307507,52,309.0,257.0,345.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194458115883686068745544511047,53,317.0,259.0,345.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196192916975297879836364221409,54,309.0,253.0,348.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266805509704817947302576545910,55,312.0,257.0,348.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109107277120942323450916908155,56,308.0,258.0,345.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297997238979333271459014484757,57,308.0,251.0,351.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198651892140006241493505240180,58,311.0,257.0,348.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.936843614073744809317271067101,59,310.0,258.0,351.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179578578280597494491718543314,60,306.0,258.0,351.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253200045762205961812194572001,61,313.0,257.0,356.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189795489932358360986022237249,62,311.0,260.0,354.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.439400161307083167585843074838,63,315.0,260.0,351.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231820353711925979990396265787,64,313.0,260.0,354.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245534142453098506860563624724,65,315.0,261.0,353.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228230215398432500199370290679,66,316.0,259.0,351.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193362113837334848719368756562,67,315.0,258.0,352.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.937453093601340595090346018462,68,312.0,255.0,355.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200074520520837881357652135129,69,315.0,262.0,355.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262817780825404884172550633184,70,316.0,251.0,352.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.592478738841226510328580697381,71,320.0,249.0,347.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.801857488873619628715579969891,72,318.0,250.0,354.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182262306316002995456810685638,73,318.0,244.0,362.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225884529690945987243726963114,74,315.0,250.0,350.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327559291576033087899784717420,75,314.0,246.0,350.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214673321037451931495606292450,76,316.0,250.0,346.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300604114215628803261759321316,77,317.0,250.0,344.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254174901497364882000892833734,78,317.0,246.0,343.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182401791461589476727454182955,79,318.0,242.0,348.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145897244636853126691806938898,80,316.0,248.0,349.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300122022483695593159201343267,81,311.0,243.0,344.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210522748552622292488306370549,82,311.0,246.0,342.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133079951781122580710202067537,83,309.0,246.0,341.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.737324854627467996269164186263,84,316.0,248.0,346.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129764239145865073003544960118,85,309.0,247.0,349.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.545030169729362277485014350512,86,314.0,247.0,342.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101663494407563616176253933108,87,315.0,252.0,345.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169741048373653131035890018041,88,312.0,251.0,337.0,276.0
