sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.292539017315994144537946978986,90,339.0,273.0,371.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198206361260668581119983773979,91,339.0,276.0,371.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324024561826144189883769574039,92,344.0,279.0,371.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306898794805677131301390819471,93,343.0,276.0,376.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182659035878857986566480043661,94,344.0,264.0,374.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252542654993613760647294416901,95,335.0,275.0,376.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.819151856142293774187322248388,96,333.0,270.0,384.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153578645879009346471182105550,97,337.0,273.0,376.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.720954831612043847330656628165,98,337.0,271.0,383.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137332770098742986764665144681,99,335.0,265.0,388.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214399487715708751750911304342,100,331.0,254.0,386.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236412352542157084693175183000,101,332.0,268.0,386.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287160235997413983842871905438,102,324.0,261.0,386.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258756462649646592637027286499,103,325.0,261.0,386.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202175410142037051176353957287,104,323.0,266.0,387.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326611450756283976081288211497,105,326.0,266.0,389.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221833596158057188437235337067,106,323.0,263.0,388.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245803055690531233883344118122,107,328.0,265.0,383.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126517070698627344971268987630,108,330.0,266.0,385.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218309548892604658171030263893,109,323.0,263.0,389.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208960262344617332394382141589,110,324.0,265.0,384.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162884176564367837892868415670,111,323.0,267.0,388.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143334224755794735261308948949,112,328.0,266.0,387.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131680051078158372054149299231,113,323.0,261.0,387.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153430657925718108504333745159,114,327.0,269.0,384.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230208090967922502155257390925,115,323.0,258.0,390.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247909094618632622113032580182,116,323.0,254.0,390.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188083968462630088317006625192,117,322.0,251.0,385.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219370497729034627678602921987,118,315.0,257.0,389.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192520007263731228561120919202,119,320.0,253.0,390.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165086774627194313897218878637,120,316.0,251.0,390.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.761860133744419936801724973610,121,310.0,257.0,388.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.759656350248251606025029273425,122,301.0,254.0,386.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.573317325156976019586691610761,123,298.0,246.0,387.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128823715029212550077111383830,124,299.0,258.0,386.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183096803847958785041756544276,125,302.0,254.0,383.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270123695524449850384589472295,126,298.0,249.0,383.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117622548169963513736253429189,127,300.0,253.0,390.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202060642220316966134567149001,128,303.0,250.0,385.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172710599264115961841465677625,129,296.0,251.0,389.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.453935601853029528983401523212,130,294.0,249.0,386.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113007003866825838303768645205,131,290.0,246.0,391.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326124348222480937817158895485,132,301.0,252.0,387.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131357874807730769065372874526,133,303.0,246.0,389.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180599706538095012348721798920,134,304.0,253.0,387.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179215984339457071808342718210,135,304.0,251.0,384.0,335.0
