sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.320589992974878561157514027329,94,185.0,264.0,211.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.429282603214267556010295730125,95,182.0,262.0,211.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169186993676316537804993846204,96,185.0,265.0,210.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152996864007824463835937381039,97,188.0,265.0,212.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307845645529286588635298933665,98,179.0,264.0,216.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272724129330853661606285600542,99,183.0,266.0,215.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.630556852324221643011005917278,100,180.0,261.0,211.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.920862421805187949626464053400,101,175.0,263.0,209.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.436434869583249902014280528401,102,177.0,264.0,212.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116028309092218536595891159299,103,176.0,261.0,213.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228184870854813844897246386151,104,173.0,251.0,208.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141319923497258154442807873616,105,172.0,254.0,211.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162029102571947082579167788135,106,174.0,257.0,211.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305014285724948145633176583542,107,174.0,251.0,209.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181616962357696307625560015974,108,173.0,253.0,208.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.823085606786947210216261207587,109,172.0,250.0,212.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.950339129220468076591855839027,110,169.0,250.0,212.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.647603213034610127376463430664,111,173.0,257.0,212.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302950991479936457955926079083,112,173.0,255.0,210.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171780615451735923543799580103,113,173.0,253.0,212.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310930360371809739586036941350,114,173.0,250.0,214.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187289939591401457910796771322,115,167.0,251.0,212.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321751363874508221460396060127,116,169.0,250.0,213.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312279015256870306894780536167,117,166.0,245.0,219.0,294.0
