sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.304175410463161467249795632999,170,326.0,303.0,351.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234441844403893204300465199105,171,331.0,303.0,358.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110750319931466121053425243007,172,329.0,300.0,358.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.397422720069205718198759996512,173,327.0,305.0,361.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281934010893547036194151741547,174,316.0,302.0,355.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316412550645815034392981278198,175,324.0,304.0,364.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250050589200607845222297072908,176,325.0,299.0,357.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208076404109025123539619803691,177,318.0,300.0,355.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339350682695404235566934462541,178,313.0,301.0,367.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259981104911886474007743566034,179,316.0,293.0,365.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304055552535556194981225836204,180,307.0,294.0,362.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144721030295491715289635820829,181,298.0,292.0,360.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292976426011564962552558089117,182,292.0,300.0,367.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.566777777177040952771790326822,183,288.0,302.0,368.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112406081668631706308583424189,184,289.0,299.0,360.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122015504730960339029386094083,185,287.0,301.0,357.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176077224110527585072455306338,186,284.0,300.0,360.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182679447534410891672024885736,187,279.0,299.0,362.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141591057861171273904918166391,188,281.0,297.0,356.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176430750613569242766458537941,189,282.0,295.0,361.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.703570067410560265480386314792,190,273.0,292.0,357.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172905157165195066792540083354,191,275.0,287.0,362.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.593747801640563257254345660180,192,280.0,292.0,369.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.922408517674183596361574986805,193,270.0,295.0,364.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293237783742207113047606708409,194,265.0,293.0,358.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114324839616698894803552449506,195,258.0,292.0,359.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138407752722235807525386150615,196,265.0,299.0,369.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312272801161488945656759793058,197,262.0,293.0,365.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.496265775265181389818384936947,198,272.0,296.0,373.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125333676385624485444611455763,199,271.0,289.0,370.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206609336606763208236176855410,200,282.0,285.0,365.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202799847931470826125847869284,201,289.0,282.0,364.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336009375524620392037976890428,202,290.0,289.0,369.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286044656517204339303961650067,203,294.0,282.0,369.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303614419111173530961377030380,204,294.0,286.0,357.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108089494754912509513898967540,205,290.0,284.0,369.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227510671620788821777309748301,206,289.0,286.0,375.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272424789951572920895823877977,207,294.0,286.0,369.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721658489843048433594581089526,208,294.0,294.0,374.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127463505637153727707981437349,209,297.0,281.0,366.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270819248742377132321109972767,210,295.0,286.0,370.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.698029510422551667877818957868,211,299.0,282.0,376.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288262668364167620487993909898,212,291.0,281.0,372.0,382.0
