sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.616936782132016985500658235251,100,326.0,303.0,355.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282840522856774595174201268112,101,328.0,301.0,358.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106465428099539104410015745464,102,326.0,307.0,357.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237150984676985705840634398405,103,323.0,304.0,360.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326144466693309881708130211203,104,327.0,300.0,362.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192365786789985494087401287531,105,330.0,300.0,356.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.553159832882524102225376454824,106,326.0,303.0,360.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182683315165259093950080427429,107,328.0,300.0,361.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235178215127632076949348136951,108,330.0,296.0,361.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278195579334442882636937125328,109,301.0,295.0,371.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.912016393255996089178407310867,110,297.0,299.0,365.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254866888171680310086398219847,111,291.0,297.0,368.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118296826077072798463083309366,112,296.0,293.0,362.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250184793509810525831074090575,113,295.0,291.0,366.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176464881228209682910121501756,114,298.0,292.0,364.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124404261492806513696389686958,115,296.0,296.0,365.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132093943006681011898160372936,116,295.0,296.0,365.0,368.0
