sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.300355962295564340158087394567,87,212.0,324.0,247.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137016710791490142598178681733,88,215.0,334.0,248.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246128655673239996511746992052,89,213.0,332.0,242.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244231121628127166154318727414,90,214.0,343.0,245.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243069304769120272870697208217,91,213.0,339.0,244.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121986599254431035573651805409,92,211.0,339.0,242.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152049911229930106387399048918,93,205.0,336.0,241.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.554492790079239177865881179800,94,212.0,338.0,244.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199687229524713382122410110189,95,208.0,336.0,239.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273783019099999298568897666645,96,211.0,339.0,244.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203386414642370239945011396027,97,207.0,338.0,243.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337743098268620791650734236474,98,208.0,341.0,245.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145330713061505176983766447230,99,212.0,338.0,244.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.673176112885928605927211955720,100,195.0,328.0,248.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.347181324982719252336681257661,101,197.0,325.0,247.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321074472998698529231231639585,102,204.0,324.0,250.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.869852239146110184176274474867,103,198.0,328.0,248.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182168804059636506292675923195,104,170.0,329.0,248.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195409438171489673523120330787,105,173.0,328.0,245.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311681740619917011251219460665,106,165.0,330.0,244.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278008040035248293607623595703,107,164.0,326.0,246.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147441746409517662052370980032,108,168.0,328.0,247.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112771492823547143708198438879,109,169.0,322.0,245.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167031628862951306790324725245,110,165.0,327.0,245.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135078910749466685599223804162,111,171.0,325.0,248.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256451698420707666648970002409,112,168.0,321.0,250.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.942937817879295220963751328997,113,165.0,328.0,248.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233804550381758721506974223862,114,164.0,326.0,251.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110569634879361102725226243182,115,169.0,328.0,256.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286010037425243793614864470182,116,158.0,328.0,255.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270666567594727143934105422206,117,160.0,325.0,251.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.746748070042869103629535330279,118,158.0,325.0,247.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132475656845428247704170394380,119,157.0,321.0,255.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192044736111271265940927378708,120,156.0,322.0,249.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241600491182836296003975125072,121,150.0,318.0,253.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253857038606444853957314502147,122,153.0,314.0,249.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338374177379328649807132445337,123,150.0,318.0,257.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260440148153455965146909065877,124,146.0,321.0,251.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159579862354713798373584175617,125,155.0,319.0,249.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250239746038598595134349229720,126,155.0,314.0,251.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328669508181368940975408209143,127,156.0,315.0,251.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.926130901348055695205737865664,128,151.0,320.0,245.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260534491365497232701618330167,129,154.0,325.0,246.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271619943357149296946375492153,130,159.0,321.0,244.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298183506700437159128308285563,131,160.0,325.0,244.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127839557826398712358825682445,132,162.0,322.0,245.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294885416995104449425469527287,133,166.0,322.0,246.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267652993826813921320777262501,134,162.0,326.0,247.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103919582543997182862406789136,135,158.0,321.0,244.0,405.0
