sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.219015162463712540039611599565,168,208.0,332.0,235.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117592475120769597874672807904,169,207.0,335.0,239.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153838652255759446509903951957,170,209.0,338.0,238.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110721654722371704312162106719,171,209.0,336.0,243.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274337958157557698519429168931,172,203.0,334.0,236.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257205182090554042121225884610,173,206.0,332.0,242.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176971581515547117904783348417,174,205.0,337.0,241.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245611140720193047454626536563,175,208.0,335.0,239.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273860850284504126172249525935,176,205.0,334.0,240.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142339874410786149998780609329,177,208.0,333.0,240.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.670372469165815413604163012988,178,200.0,333.0,238.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.795575917608974314042757140355,179,207.0,336.0,239.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111518426165455706489038424538,180,207.0,333.0,238.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.851921816015557419404956348861,181,208.0,335.0,234.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303179658112881280529949026736,182,204.0,321.0,243.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160882524624013132556484507788,183,203.0,318.0,241.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293575564172103055567296040221,184,194.0,316.0,240.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179207631622171255587882056852,185,196.0,318.0,239.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.355628566190671969581653264166,186,192.0,318.0,236.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141934773500004482919697418166,187,190.0,316.0,238.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284475236300370117695128295934,188,186.0,314.0,244.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238980759798861657328466779067,189,156.0,324.0,245.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244267631983553574828706885575,190,154.0,323.0,243.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.840984814057256096915200850010,191,156.0,318.0,241.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214229574994553324535303657443,192,162.0,323.0,243.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224062511802364817599108941044,193,164.0,315.0,233.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175100893317960871713423079989,194,146.0,322.0,238.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287823160111054131613410362655,195,162.0,327.0,241.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215265091725556752453328920008,196,156.0,316.0,251.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.460541498770790904303336499289,197,151.0,315.0,240.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207828493442729044128832497857,198,146.0,308.0,236.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102790323643515288102148349384,199,143.0,317.0,238.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102508860460999061371790447209,200,149.0,308.0,238.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.581733149132381275323041310400,201,146.0,311.0,231.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276285177955588543870334785004,202,143.0,310.0,236.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.603079511733737971475357953745,203,147.0,313.0,243.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114146886514199962868470618373,204,148.0,313.0,246.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252666942955764754957243865364,205,138.0,312.0,241.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199090467605826708417425633626,206,153.0,302.0,239.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135140565758437897922002241661,207,152.0,310.0,246.0,413.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232001227627511631026701661542,208,151.0,307.0,239.0,394.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188068524561976301634645634891,209,160.0,303.0,238.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286896820136507660876958949691,210,155.0,308.0,235.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.417151927896975800849102540557,211,156.0,314.0,229.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114289946331386071759670783922,212,158.0,314.0,235.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167909905458190457193305245310,213,150.0,306.0,232.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259870283776366500785110218609,214,162.0,311.0,242.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.362709672361353774150451705230,215,155.0,303.0,236.0,394.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278764519050520362499459605197,216,163.0,314.0,242.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216350706458704405041849785794,217,157.0,311.0,239.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235842153273412716935115676879,218,163.0,316.0,233.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104025504864236102023808136406,219,150.0,313.0,236.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.962732013599260308317248745900,220,159.0,312.0,237.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258451362290946646442518322358,221,163.0,318.0,235.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204295216795752977664593603517,222,161.0,320.0,230.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306641789552165969876838419555,223,163.0,318.0,240.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319978348590235028411636663362,224,166.0,316.0,233.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186983116097867193435958958140,225,162.0,320.0,228.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118128522081730417387441050195,226,166.0,317.0,226.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254061798533876047186037396153,227,179.0,314.0,230.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215208668438950670815791768710,228,165.0,305.0,231.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222726058418622376379509555597,229,178.0,321.0,229.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.946329856496461873779504361190,230,167.0,311.0,228.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326950257829741628094874233203,231,169.0,310.0,222.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.739572112437403735607580615715,232,165.0,314.0,228.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138384007408414079592183555439,233,172.0,315.0,225.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335699933996151930780601557757,234,175.0,317.0,224.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.547553400892959450618922515338,235,165.0,311.0,226.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154374700976352095213952607973,236,171.0,318.0,228.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.865952688641337088542329099176,237,179.0,320.0,219.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138188448525015896353106212353,238,179.0,318.0,223.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161706081222071506870940456365,239,179.0,316.0,223.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144073530924403428343528473879,240,177.0,323.0,216.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121868827942031877757243010003,241,174.0,316.0,222.0,399.0
