sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.473208933594273471648724238199,236,190.0,310.0,215.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171763616591769006688798740364,237,194.0,315.0,219.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188963939720483946154748221813,238,187.0,304.0,220.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194701310784848440681786779655,239,194.0,311.0,220.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.924874460945442323048759137663,240,190.0,310.0,223.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225876399558687745125017986298,241,191.0,308.0,226.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127072802454750683101928835936,242,189.0,307.0,230.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.993860137331467384711699888653,243,184.0,306.0,228.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139974097791062720769610426098,244,189.0,302.0,228.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131445032585688121453566951290,245,186.0,302.0,229.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.378233779191250352284534442306,246,186.0,303.0,225.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340099730746328504899322182166,247,177.0,297.0,227.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221550874974568738029369885823,248,183.0,299.0,226.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277331231133878299011251859648,249,173.0,299.0,230.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.702484806811503423483094206039,250,178.0,296.0,233.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104481684764567745673971264963,251,178.0,296.0,226.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208679364738101365467939633201,252,176.0,296.0,232.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.669497702857965692265313256152,253,177.0,294.0,230.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208442680835131167454014647515,254,173.0,293.0,230.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125125931735332095217703004905,255,173.0,293.0,233.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275822968982648542284532569490,256,173.0,289.0,227.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.871142945153115871160499705455,257,172.0,293.0,226.0,353.0
