sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.217049639189157587148751122068,24,148.0,318.0,234.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.631420053489619415865477611111,25,145.0,309.0,239.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161492790358220166869446825306,26,139.0,298.0,246.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235090739638229777992475357471,27,132.0,300.0,250.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290120371133820538015961452888,28,123.0,293.0,254.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108186546933059280553419670581,29,122.0,291.0,259.0,432.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265412718399441960392706938967,30,120.0,291.0,253.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.888707287100567081790536476475,31,117.0,292.0,259.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.698898772455221228314701687871,32,117.0,298.0,262.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249180664927773279313196949604,33,129.0,295.0,245.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114673948570458953635666716631,34,128.0,298.0,259.0,432.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.375779365028784102247795557581,35,132.0,326.0,242.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241899151841006489960964829665,36,125.0,307.0,234.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319144185913430536707725066248,37,108.0,318.0,215.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.758320671982592556082030239990,89,144.0,317.0,239.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234015207724288709787256420586,90,148.0,312.0,244.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229668362062405377169643468446,91,137.0,300.0,242.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191965965364319683828395917703,92,131.0,298.0,259.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.767200112201531771939605928385,93,122.0,287.0,250.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253651626098013466518864738279,94,125.0,301.0,245.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146199249186125242784050075858,95,131.0,288.0,237.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303270169223597353457857880747,96,124.0,299.0,242.0,413.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139936361610985837161060430183,97,129.0,295.0,246.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278649570330476259928976248596,98,139.0,303.0,265.0,436.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239965389571467463424396813157,99,139.0,314.0,238.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170508624400280903180786672021,100,138.0,322.0,235.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282158027721124994374449274114,101,132.0,327.0,225.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261998351040982796068581720159,102,137.0,333.0,204.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323054020284449093132011740433,154,134.0,315.0,246.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220964634179158925452419746836,155,142.0,313.0,253.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.688243535095124216759375815153,156,133.0,308.0,240.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137770359828404466816066762491,157,133.0,305.0,254.0,417.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258191335690146542129389461118,158,120.0,290.0,242.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103383094222322584324929744568,159,137.0,301.0,244.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314436407428911250770929823835,160,126.0,289.0,252.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163264178107225349333097633054,161,121.0,303.0,244.0,416.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252176219466924308629131173561,162,133.0,300.0,248.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247174931034778158093456124874,163,129.0,296.0,253.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334657387285976717017613449332,164,137.0,322.0,243.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118866157249799213063734808398,165,146.0,322.0,223.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.499491976430360874779443236982,166,137.0,327.0,229.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178515554611598059850565580099,167,138.0,339.0,209.0,400.0
