sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.335519035888828124949783114016,7,311.0,270.0,373.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233537129035505329787365584493,8,291.0,261.0,370.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194871789893215375393399794065,9,289.0,259.0,384.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157359907890021544600505776941,10,284.0,256.0,377.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.778027509596029431358378450904,11,284.0,248.0,383.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206294708991344455292694690416,12,274.0,247.0,390.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120682326752532956248954507444,13,265.0,236.0,392.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.840318424732264407021501623776,14,278.0,234.0,398.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269366590266620788361848253582,15,287.0,224.0,413.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229567827250167538144509656592,16,275.0,233.0,410.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102538568058813897653024801649,17,283.0,220.0,407.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305559720845507628217794896854,18,274.0,224.0,419.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217643252024929207068288433330,19,292.0,227.0,412.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134587648980938886953475233589,20,289.0,231.0,409.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107147108647056517882341153915,21,291.0,224.0,411.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329208830977517785684110086731,22,302.0,247.0,405.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.488899630939047494876088343189,23,289.0,227.0,416.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229870364248742693793292886701,24,301.0,248.0,403.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320972451866871145962121567853,25,302.0,248.0,411.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.846435522047388519459091229170,26,328.0,265.0,405.0,351.0
