sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.635917213429630871263633187899,25,284.0,239.0,343.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329539220856619559765771007942,26,270.0,234.0,349.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335486617697095190757794422761,27,278.0,230.0,355.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251677614689305900402568405200,28,281.0,235.0,346.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.479835806736727442352703805826,29,269.0,215.0,343.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283514404628655415121934384286,30,284.0,230.0,355.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217449951013468012254230462034,31,267.0,209.0,349.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266768150348506521703820087996,32,267.0,198.0,354.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225650112919569638769045971531,33,276.0,243.0,358.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217607027851121689945848790713,34,270.0,235.0,362.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126557206034326175869348101090,35,284.0,240.0,362.0,345.0
