sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.314431015127867851394695258791,2,134.0,203.0,204.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284885435148158353072772687084,3,125.0,193.0,189.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311120577600231539049953008353,4,114.0,180.0,198.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301935312481452035905501559170,5,107.0,182.0,197.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166577873601904727508963576735,6,97.0,178.0,206.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236499386324135867302452525337,7,112.0,174.0,209.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.665194646185221264859508227324,8,98.0,183.0,200.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124702409799832604202135607228,9,107.0,177.0,204.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214049613590680513200779258093,10,94.0,175.0,189.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.376590199104001487998897260607,11,98.0,187.0,187.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149888965143798316290011672378,12,109.0,191.0,192.0,280.0
