sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.292084247779727912797987872424,7,163.0,250.0,231.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267517318564986996405254740805,8,157.0,234.0,232.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200937471709341225203190087750,9,154.0,229.0,244.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292067395368728644007866087544,10,152.0,221.0,237.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.858655140315249052144015545135,11,160.0,228.0,228.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133598752847807053848631267425,12,158.0,225.0,231.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133225574615231089106277397627,13,167.0,227.0,230.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284568964388874053559374891601,14,174.0,241.0,228.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.963250139895571927174836521147,15,186.0,254.0,216.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245789819270298061441057100555,67,153.0,242.0,231.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721985748912400150433941496461,68,163.0,236.0,234.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.894808513099687297193184313793,69,160.0,230.0,234.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140230659994702979824236427142,70,159.0,224.0,233.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.747176389255590769666818533131,71,163.0,230.0,237.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129675020274998066233537468664,72,149.0,217.0,244.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142279372334043421036719938576,73,154.0,216.0,251.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267062467887396687548256540831,74,166.0,241.0,225.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.910355382705960647016668436789,75,188.0,258.0,211.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.569632273834043243320451992388,127,155.0,239.0,230.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277119392308495772330847889284,128,157.0,245.0,234.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.749875300510773505079958394555,129,159.0,233.0,235.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153165530873686456834097564140,130,163.0,233.0,235.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336842309778179617608234386490,131,159.0,218.0,237.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146484298827321142516186327250,132,165.0,230.0,234.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195414318578085643949700453686,133,171.0,230.0,239.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278106096815080814627930892317,134,174.0,236.0,237.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135143301858326699571773862024,135,187.0,258.0,216.0,291.0
