sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.594639224623716239557480975552,17,266.0,318.0,419.0,436.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289205956094574260413178576238,18,264.0,307.0,385.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145017144981733451014416356597,19,269.0,311.0,393.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241618231101545250741699068040,20,268.0,311.0,410.0,428.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.703794506627993840049489010235,21,261.0,302.0,408.0,427.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127929609238984737838939104706,22,251.0,301.0,413.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220188001112225742650979689324,23,256.0,298.0,421.0,422.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.973862741658457617458443309659,24,263.0,295.0,409.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209502411425349196218268926374,25,256.0,292.0,421.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245208588495079647074057435315,26,238.0,274.0,425.0,445.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295387201575879268223244828035,27,251.0,281.0,430.0,435.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.510740437317861815099626619992,28,260.0,286.0,435.0,446.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280796027812506807612169067075,29,268.0,286.0,423.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207890273114481107762443731325,30,265.0,294.0,425.0,431.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.668297833815698886111855490887,31,275.0,295.0,411.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162367864594889946206831346537,32,275.0,298.0,391.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122922052558861899342666250532,33,298.0,305.0,385.0,380.0
