sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.296810183277990330348456681381,21,330.0,241.0,408.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174005521095523051648975992218,22,330.0,226.0,422.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167814257255757856767438690262,23,322.0,222.0,415.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336201222970873184734657990791,24,315.0,208.0,415.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175396177341481769939298443667,25,327.0,224.0,413.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.552647943220420478085713723740,26,317.0,207.0,419.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.981541112557864883573701638101,27,333.0,208.0,420.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.723260994743877454541167711505,28,330.0,209.0,415.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.754411964833578342321219621366,29,327.0,203.0,412.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156024504832711348535739338842,30,351.0,230.0,425.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330600324952189526107419111312,31,339.0,227.0,407.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268556123216285479131350350040,32,360.0,236.0,409.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.499806997058015735965842181220,71,331.0,245.0,413.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242293024457702653367146924142,72,337.0,234.0,416.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294058361248285049125716704205,73,322.0,233.0,431.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293241152578040584318240183434,74,322.0,227.0,442.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103665699775174198408461898626,75,328.0,228.0,419.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244503830599573189758616651384,76,329.0,218.0,434.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323408439893265600542614311793,77,339.0,218.0,419.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.462596766940414880087628426860,78,347.0,230.0,424.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274569489043657539106429900145,79,332.0,230.0,414.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140384569801776647547859562775,80,346.0,231.0,410.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176796305852512684515048596984,81,349.0,250.0,409.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179705826942473691011326293287,121,342.0,236.0,414.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215929728801503833909127824616,122,333.0,236.0,426.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247325270578643206648186103325,123,342.0,236.0,416.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264695430021766092123832044360,124,329.0,234.0,419.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108589309163571352094209533201,125,319.0,218.0,419.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.369438033014971075186956644204,126,333.0,233.0,420.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290647700575838967295434353440,127,344.0,221.0,427.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159674842845483680147415068143,128,343.0,216.0,434.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108077092243613935343929859313,129,341.0,237.0,417.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121774867987043496813043157190,130,342.0,233.0,409.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267802764368554429555699167178,131,348.0,238.0,403.0,301.0
