sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.225535810185514153731728491443,22,265.0,126.0,361.0,205.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249054998011817246869406353780,23,249.0,114.0,363.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154831067438036479150854437716,24,261.0,127.0,376.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284232064452198820296300928003,25,266.0,126.0,381.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307034643512425503416957892269,26,236.0,96.0,375.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291403637398452225203608976408,27,270.0,117.0,401.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108701996391550355236470908143,28,269.0,123.0,452.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327729003520280350733116843225,29,248.0,112.0,392.0,231.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329797226693722864367927684648,30,261.0,109.0,365.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.811004935904955832768704742695,31,265.0,105.0,369.0,195.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104535254782980487636587423575,32,225.0,92.0,363.0,197.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190634778894929055487935790608,33,241.0,77.0,350.0,184.0
