sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.206625729329973639895246909012,35,160.0,273.0,215.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215751182132841478600724567831,36,162.0,277.0,216.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119020989845102652874895531519,37,162.0,282.0,219.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257905621624016782443664684253,38,161.0,278.0,226.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.589738370863530164691393000556,39,164.0,279.0,235.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138458884298152620252875582233,40,160.0,280.0,234.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124082730275958279727535932492,41,157.0,268.0,240.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224965088705170030743591946676,42,153.0,264.0,241.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123346288997102314914672044637,43,169.0,264.0,241.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.594559655457684443136340975825,44,169.0,267.0,237.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283011965148363282928651604911,45,168.0,265.0,241.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140259386697820968183493772052,46,170.0,265.0,241.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338414050150600857378833847925,47,169.0,274.0,242.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211716381430484934194409274126,48,175.0,276.0,239.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145015995473021699996796997390,49,181.0,282.0,236.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285709585566923423176947107440,50,183.0,285.0,233.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141001122110885463444113374022,51,189.0,294.0,229.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.619859088867152950622924490146,94,169.0,282.0,218.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218117198290944165977995470256,95,158.0,282.0,217.0,336.0
