sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.153030138630515644085632575773,33,166.0,280.0,211.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242454930828190381089136618609,34,163.0,285.0,213.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205482966235909412773944269003,35,158.0,285.0,215.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164425634547576182363969019821,36,155.0,285.0,219.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275150936612354557437971423809,37,159.0,284.0,231.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196774119850772327576825160453,38,152.0,282.0,232.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.604380658736098966782100742018,39,158.0,273.0,237.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314715778358838512175957335108,40,169.0,275.0,238.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338223143269163606748431943604,41,162.0,273.0,236.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113027949242841779752257718736,42,165.0,271.0,239.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.809832673119100305259076424137,43,171.0,276.0,240.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232249381940435272879237188633,44,166.0,280.0,236.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109242260650278730998509779303,45,162.0,279.0,234.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.726862704708536490624735008439,46,176.0,282.0,241.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.599803256411038697019888923201,47,177.0,290.0,235.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140728294236604898050811256469,48,180.0,289.0,231.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320615617252392596060913558984,49,183.0,291.0,227.0,358.0
