sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.215256342015160266523334517846,72,226.0,336.0,240.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302227914930281012854531768797,73,223.0,333.0,240.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319677235532120930710981396227,74,223.0,331.0,240.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276741266199195092099433540460,75,222.0,334.0,244.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.488457547927036607554297269691,76,222.0,327.0,251.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192040105953048339073134379355,77,220.0,336.0,255.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282396733252673351888254763855,78,213.0,326.0,253.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214455108861387006500794381859,79,214.0,328.0,248.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170715935905985535377867118691,80,201.0,327.0,250.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315897319076105453679962659376,81,205.0,325.0,249.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245425305422125954315807290845,82,205.0,328.0,249.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135125990548650557880165893057,83,206.0,325.0,246.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238856308836019216195025580337,84,203.0,317.0,247.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167981155435716328624353613648,85,204.0,315.0,249.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.710266484200701706443301529599,86,198.0,311.0,245.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173674705265997384957593628693,87,202.0,314.0,248.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166210558000139286183419455866,88,196.0,314.0,249.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189951957865930655896718256624,89,202.0,315.0,250.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.552294382976819696538317090902,90,205.0,312.0,248.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244636414807810781214415664646,91,200.0,309.0,249.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166209984826395389156692580961,92,205.0,301.0,244.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115691962175778016910465358399,93,201.0,306.0,244.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130655345469523565994893416814,94,205.0,306.0,246.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335395305227053439242461371442,95,201.0,305.0,246.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215849403340697197223215767243,96,204.0,309.0,251.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305627383336074498660404374051,97,205.0,300.0,247.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207494483383372160098697654268,98,207.0,300.0,255.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219176942312203300086140015801,99,206.0,297.0,252.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.378405763705385125763621215764,100,204.0,296.0,255.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331034841812662140092096566441,101,212.0,300.0,253.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.757659378584767654746107065481,102,205.0,303.0,266.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200729538828585605399609695147,103,207.0,300.0,253.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230682220388740970774773219806,104,201.0,299.0,246.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233554119088058757153817935464,105,207.0,303.0,243.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.935127675947061799629423169395,106,208.0,306.0,239.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143525903206675608518259387472,107,205.0,302.0,242.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249650936778262514923061931745,108,205.0,303.0,238.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218742768373183150736155037200,109,208.0,294.0,235.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117111095365474755483758797669,110,208.0,300.0,239.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325743002477092484778458746784,111,209.0,311.0,241.0,343.0
