sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.112883922008922123574883380979,96,333.0,254.0,398.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.375990621985594930186166738870,97,333.0,250.0,402.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195204177574521958604230624156,98,323.0,245.0,401.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152218295634672062473987449305,99,314.0,240.0,402.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276912850489435846941402725611,100,307.0,244.0,402.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.742385509555424813635759364171,101,318.0,234.0,404.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.617470469979923541899273833529,102,317.0,239.0,404.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238882083025084143077060348201,103,314.0,231.0,402.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253002336949938522494906144393,104,318.0,240.0,398.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111553461955742113253866299013,105,326.0,235.0,368.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.448249131868861505330080217318,106,330.0,235.0,364.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150827534458662803481188867743,107,335.0,231.0,359.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.835462033163160286597895358955,108,336.0,222.0,362.0,288.0
