sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.879071863041468966966573098186,156,211.0,294.0,254.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257422009235068529512479728038,157,211.0,300.0,252.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.394254873851669944715822094396,158,206.0,299.0,255.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706000292169620964103900907706,159,212.0,302.0,255.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101399614806141219404428951888,160,210.0,298.0,258.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294263518931163094362641359460,161,210.0,297.0,257.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.499683470277923993705979732445,162,208.0,300.0,255.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176201075222201673826431756769,163,204.0,296.0,258.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298911396333041880339594900436,164,204.0,296.0,261.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134362437745131708063411564916,165,207.0,296.0,258.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234410872772225427052073750642,166,199.0,296.0,257.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226919284064070999860334366902,167,196.0,300.0,256.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.724577272339407951756225247733,168,191.0,297.0,254.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176293762045417067747606595020,169,188.0,299.0,258.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258881015640659900074383408031,170,183.0,295.0,255.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311551969328852926741607615955,171,180.0,294.0,252.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150298572961616473071134753494,172,182.0,293.0,257.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111153197595658281347579199902,173,177.0,286.0,258.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268031756918474973128813095427,174,175.0,287.0,255.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286914536575471114754305631401,175,177.0,287.0,258.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244395232537129889848874958013,176,171.0,282.0,255.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318737320268006838297457983499,177,178.0,288.0,258.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.879253682343319197241488014340,178,187.0,285.0,254.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319827335573622311054510549549,179,190.0,289.0,254.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115009522215255477230784841306,180,191.0,292.0,258.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146803390257090431699208979502,181,197.0,287.0,255.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252285328111855419499496498056,182,196.0,283.0,251.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329059508873238988682012080360,183,191.0,288.0,249.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321881949489491562544072320581,184,191.0,286.0,250.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233016074534317967724221650093,185,193.0,286.0,256.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106083720952651092382298839045,186,194.0,278.0,251.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242757707070204001988282363465,187,192.0,287.0,251.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212624542630395874840178289263,188,190.0,288.0,246.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.624004634845726477992654455960,189,195.0,286.0,250.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.814957125229347070365158011399,190,194.0,285.0,253.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.659531615178805619292901728140,191,191.0,288.0,244.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208518013157659907729173076888,192,185.0,288.0,248.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.633454654061051335231809284999,193,212.0,291.0,252.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219543278643866890928423099834,194,218.0,293.0,248.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304614504219837278091215139588,195,216.0,293.0,247.0,342.0
