sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.204367522925856974889507545820,69,211.0,302.0,248.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318914798711552110322247833222,70,215.0,305.0,252.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.432552794086864734223944971380,71,215.0,308.0,253.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309524988300450353239014715539,72,214.0,307.0,258.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.943209341683403053345019041652,73,211.0,307.0,254.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247844328174555821605688502583,74,206.0,310.0,262.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271360689901722389022977856851,75,206.0,302.0,261.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103852997486300012209516930372,76,207.0,296.0,263.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.590176741446991745345475583711,77,204.0,305.0,262.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289033936415231493575674818061,78,204.0,305.0,258.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119863017774114858335191734218,79,208.0,302.0,256.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121620092891226560122615748944,80,210.0,300.0,256.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269903714785531080101642583143,81,212.0,305.0,257.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.368361005677339157563468273508,82,206.0,303.0,254.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103967284736134544128557756954,83,212.0,298.0,255.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257575679616357564705391280451,84,210.0,305.0,254.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281042955751017997526268105867,85,210.0,302.0,256.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318413840728792792559557835480,86,206.0,298.0,257.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100666625592252528839932188195,87,205.0,293.0,259.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.935837748608627390160564124950,88,209.0,298.0,253.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294385671056182680214067404826,89,211.0,298.0,251.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100806217201914196571536651460,90,198.0,287.0,248.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276754081906278475307997964529,91,204.0,294.0,254.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121069914128130467325129871155,92,208.0,293.0,255.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313056724012969488149957978767,93,206.0,298.0,250.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245937065445658271154096406921,94,205.0,292.0,256.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186289978417652483044002708329,95,197.0,295.0,255.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144937994090547237219893238604,96,209.0,294.0,254.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274234691638000149408436240196,97,203.0,285.0,253.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.755709174729572089902804326312,98,197.0,288.0,254.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.810447841399769572460454681041,99,198.0,296.0,250.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.922088318177009685828104077032,100,208.0,301.0,259.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140209315134366060131775031458,101,199.0,291.0,250.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189337194439342987327251763292,102,208.0,298.0,251.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211048409427253163917234466210,103,199.0,299.0,252.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.666006891068874461188250825585,104,210.0,294.0,251.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291393306074111725628616397794,105,220.0,306.0,249.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302929434003174987555918296722,106,227.0,310.0,255.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.756389117641299423081533610559,107,225.0,305.0,248.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261463467457950715016781098601,108,219.0,310.0,247.0,349.0
