sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.871399528839544011023972828406,115,126.0,276.0,172.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.900013516810579978004840952987,116,122.0,273.0,176.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115163679564083143592765108528,117,120.0,275.0,173.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203145325505120990653667251639,118,119.0,271.0,183.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.710298077673921585564181148322,119,124.0,272.0,187.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340223234067030790647511963035,120,119.0,270.0,182.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122798678818146316455645198844,121,123.0,275.0,185.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.698458138873020165514097667076,122,122.0,277.0,179.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.348654862634638212039892538419,123,123.0,275.0,182.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.865978222724358050249600967637,124,123.0,275.0,182.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263768896027241997094544243341,125,112.0,281.0,190.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266331463449340606938361965580,126,120.0,282.0,184.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151593790166247145029289232314,127,120.0,278.0,185.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217638299337080762843674411854,128,115.0,282.0,186.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302306908946602019078401181097,129,123.0,282.0,187.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284067707115300620087990367258,130,122.0,284.0,186.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131888987671774085323293314463,131,116.0,285.0,190.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292989978177368305705878138560,132,112.0,281.0,186.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140730816544923253794242019659,133,121.0,286.0,187.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147004168981005546680091925930,134,116.0,276.0,177.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130079948160628758823555851227,135,121.0,282.0,171.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126748835595120350000916796114,136,112.0,288.0,167.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283148791570579103861509024163,137,118.0,293.0,177.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136782005583732538836049006667,138,116.0,293.0,168.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299934348243848879816751872605,139,119.0,298.0,179.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296729414731166777604962340562,140,109.0,289.0,176.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.406506498668823946797632078232,141,114.0,293.0,175.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.406372148830458631906568697257,142,118.0,293.0,186.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337760421021530545601710298121,143,106.0,286.0,176.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268246896301956710676639630684,144,115.0,293.0,183.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159788997995481369010090676058,145,113.0,278.0,187.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.538685906064188889999337301242,146,114.0,288.0,187.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.565037590284033503429218287156,147,104.0,287.0,184.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127450856435797102504735260522,148,102.0,288.0,183.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336948764731762118567443347005,149,114.0,290.0,179.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240687055368738483142908323797,150,113.0,291.0,182.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269324447273710475163311103600,151,109.0,292.0,179.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235881300508947894604051780837,152,114.0,291.0,176.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262606941094166462977980841370,153,115.0,290.0,173.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141748324482158352898927394533,154,117.0,294.0,174.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254412642801002059579815432905,155,115.0,285.0,172.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.435523338303460073108667163947,156,122.0,296.0,181.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106582020033706016936092663395,157,114.0,288.0,171.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.754280000854010672920400379815,158,111.0,291.0,176.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131592310304426871591342291173,159,109.0,291.0,180.0,336.0
