sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.398163390099855569509023441115,173,292.0,275.0,309.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175982664446179139827300783711,174,286.0,272.0,309.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242146019791655021459473369023,175,284.0,275.0,309.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216977714487512957657797210025,176,283.0,274.0,308.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126884058370529025799501198860,177,283.0,276.0,311.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335114548877712017039372245700,178,276.0,268.0,309.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183008373965963839772979588153,179,282.0,273.0,308.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.712137420526487301246185343967,180,280.0,271.0,308.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112107152773952011714105834414,181,283.0,269.0,309.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.457182950378202684263619540907,182,282.0,269.0,310.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300053107736280166776761256496,183,284.0,283.0,308.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333553451784331691520564561059,184,282.0,281.0,308.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250037169910086079078206001910,185,283.0,283.0,307.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245497847288835321975721579959,186,282.0,285.0,309.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115615876153105442530861695141,187,281.0,285.0,309.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110912511180547862509640519305,188,280.0,282.0,306.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312755839435143456237312929059,189,279.0,281.0,304.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161947466354948173550435585461,190,284.0,282.0,304.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213017329587758479488174103998,191,282.0,282.0,306.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211597049411074805256745844577,192,280.0,273.0,328.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.900919264787684749984667804871,193,284.0,270.0,322.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.995141035104562141426238095313,194,281.0,269.0,327.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190618226429465196226662767901,195,279.0,268.0,330.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298772841086322458940736065621,196,279.0,267.0,331.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268951145757879376852854246294,197,280.0,268.0,324.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104389928696776758754441021213,198,276.0,267.0,326.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273634341833705710638052620623,199,279.0,272.0,325.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.752566184574800614848176796016,200,282.0,275.0,324.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284188729576632796124260977337,201,282.0,271.0,326.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.356573721890628999520699692696,202,279.0,268.0,326.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.531181332444039301848831444701,203,270.0,245.0,324.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277146639927678859814860087565,204,269.0,241.0,327.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281288290052732234345950882293,205,269.0,239.0,325.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179268643242323294053057515091,206,263.0,231.0,327.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128261616517919732557049707297,207,270.0,234.0,327.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194154805080582708990755752468,208,270.0,235.0,325.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233176754610729137453471235430,209,264.0,233.0,327.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.546119845177105958343890145270,210,265.0,235.0,327.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294346158060537278061202253736,211,270.0,239.0,325.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302993792232585281838182489289,212,269.0,236.0,327.0,307.0
