sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.222710867473034442368537258755,175,182.0,341.0,206.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233709007100211109864907400639,176,183.0,338.0,204.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.787875099882036377699623117035,177,181.0,336.0,204.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207120555164838030712238335802,178,178.0,336.0,207.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280010926364351116450868041289,179,182.0,334.0,214.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166162531696066970559505529667,180,178.0,334.0,213.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214284311385434521264797239598,181,178.0,330.0,218.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242126463510380073132958440423,182,175.0,315.0,225.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153710133728463276204331353870,183,170.0,313.0,225.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269727188131353421649919708429,184,170.0,314.0,224.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106707411771000668347882061510,185,170.0,314.0,224.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276856442090600832165809324863,186,171.0,312.0,222.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.575475852495132189521649652962,187,170.0,309.0,223.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240292574821299881555640112119,188,171.0,310.0,222.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.765116176449167058193438251044,189,170.0,314.0,226.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129687277336796817126228614974,190,172.0,311.0,221.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109567631188425097015665702237,191,174.0,308.0,226.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317870643087446506469317878223,192,179.0,314.0,223.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112801869747660953309439237837,193,180.0,309.0,224.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124170016110499985939229018265,194,178.0,313.0,226.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184379519773127304838445649851,195,175.0,316.0,225.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113254301652117867485279173770,196,174.0,309.0,225.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226448952607528192057147441259,197,176.0,312.0,226.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218138466529416220856029472598,198,178.0,311.0,222.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253258873135179516040766614474,199,180.0,311.0,223.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238979006138640966362544975998,200,179.0,310.0,227.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283546002190850336211655722645,201,181.0,305.0,219.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208413993817137006384254415564,202,182.0,308.0,226.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317378414671590251497208268585,203,180.0,305.0,227.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164200398822181758907818253015,204,184.0,308.0,228.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.510448891565579103414809154078,205,175.0,311.0,229.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262719176004793313038247835138,206,185.0,311.0,224.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175705540266415775689255269844,207,185.0,308.0,224.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164571107891958810282333563861,208,177.0,314.0,224.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209313207335536240367349842948,209,185.0,305.0,218.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.965706830808522917882455260035,210,178.0,305.0,217.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.956108328179770988768440533197,211,181.0,304.0,218.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183573502854875875683256577672,212,179.0,305.0,215.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252310002387862363680633864902,213,183.0,307.0,221.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235254781345562119737608021000,214,179.0,303.0,216.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154765086036864066115714351716,215,184.0,298.0,218.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.432006307330542934192840997077,216,181.0,301.0,219.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286216069720663196716403751208,217,185.0,306.0,219.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324618902670268308678999144272,218,179.0,296.0,218.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.915392628669794533848356790867,219,181.0,303.0,218.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262018668582918252203987606615,220,179.0,301.0,217.0,356.0
