sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.310804507140493177629468785763,88,176.0,268.0,221.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290422866632465114374845475604,89,171.0,269.0,212.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162414218926663306746669400484,90,169.0,272.0,211.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121109659547834985551125504270,91,170.0,265.0,210.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158133920788918660989025709152,92,173.0,272.0,211.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225530323815176907600317104303,93,170.0,270.0,213.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145369480102928248730439462940,94,169.0,272.0,212.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.703468625779739026262272946955,95,168.0,268.0,213.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286515189225451474908750407640,96,165.0,266.0,215.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329215243021852699811871410647,97,166.0,267.0,216.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287218234857528372373404615452,98,162.0,260.0,220.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214595871969599308294140909653,99,161.0,262.0,215.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112773894739600668357358479447,100,162.0,262.0,216.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165050931166775464885334173722,101,165.0,264.0,217.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136173904836406951896770190851,102,163.0,269.0,220.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.665291078025123018523867340501,103,163.0,266.0,212.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192700797742281741331940385753,104,162.0,265.0,210.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100499032439407354441396898372,105,161.0,266.0,208.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163623744835761260951032645500,106,158.0,268.0,208.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.814783454290182287714986736488,107,158.0,266.0,208.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.983964877171711357377817667088,108,159.0,264.0,208.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.532342049143188865219891690772,109,158.0,267.0,208.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205476252590800341778527211605,110,153.0,265.0,208.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.793040528413429935825562310039,111,158.0,269.0,210.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141270909894900038667831553076,112,160.0,264.0,212.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255492382471907663933707197373,113,159.0,263.0,213.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.582848814962261936977820420342,114,157.0,265.0,211.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107879393751003104238919032826,115,160.0,268.0,205.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138512326055839418459983883726,116,168.0,274.0,205.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121033539769194154565585142593,117,167.0,271.0,206.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170186137557568285741904762361,118,169.0,272.0,201.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239370093320554418161579443701,119,166.0,273.0,201.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264409968982042031458866563017,120,169.0,273.0,206.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262222782503586985891764741257,121,172.0,276.0,196.0,314.0
