sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.329674192545647018488132008176,57,166.0,257.0,212.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175148823124654765671719112673,58,163.0,257.0,209.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197084981136110456866351770055,59,161.0,257.0,215.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.932629067835170628460106106579,60,163.0,256.0,204.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330830275578629261904904865319,61,168.0,254.0,208.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.805643064358225547404096373359,62,162.0,256.0,210.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134128889193339722363021484579,63,158.0,252.0,202.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.535431382893166631182057692987,64,164.0,251.0,208.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144777529949940450039959962477,65,162.0,253.0,208.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131808426470382414606422807654,66,165.0,252.0,205.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123176982121436826486474129166,67,162.0,250.0,207.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323237765825206958982701986540,68,165.0,253.0,204.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195822444340160852494683170334,69,162.0,250.0,200.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222023310115165697603090351509,70,158.0,243.0,196.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.488293159406202328854741302088,71,158.0,237.0,197.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324452133861415530790757096555,72,155.0,235.0,195.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217269799358309056743919093186,73,155.0,235.0,190.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.600831095779816473760732606428,74,155.0,235.0,188.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272921102969463702645741932801,75,159.0,232.0,193.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.368768618890019917886651371618,76,158.0,236.0,191.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153236763791502976451799287895,77,151.0,232.0,184.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.394319311324917975731190924775,78,151.0,229.0,189.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301384531266102046466347624884,79,153.0,230.0,184.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245660259928809293449744703995,80,151.0,231.0,187.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.384791741282803014689600375393,81,150.0,229.0,181.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.460105698570504544245366669445,82,153.0,229.0,185.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120649152280477393185098760808,83,158.0,225.0,184.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152754628434770501588338120247,84,156.0,204.0,183.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285106655469108690786960325495,85,158.0,214.0,183.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.440199551569724676530788881946,86,162.0,200.0,188.0,275.0
