sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.420216291009714807686737640024,16,176.0,280.0,205.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333459930515535719618998319379,17,178.0,276.0,207.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.637369727883826579845599182340,18,173.0,275.0,206.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216152334161449310519069459111,19,173.0,272.0,208.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246457614013480475502487679591,20,174.0,266.0,207.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.586039499265297708718506258525,21,171.0,268.0,207.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253384201411839859677396140969,22,168.0,260.0,217.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137355980642526725765701251266,23,169.0,264.0,211.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.913472819062152583560463342346,24,168.0,264.0,208.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321743084995333091037938772658,25,167.0,260.0,208.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160154361649371815135369813818,26,168.0,265.0,208.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265529966485606927657815692641,27,166.0,259.0,209.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117104078783965475951324331017,28,167.0,260.0,212.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.430784711085470387922019866944,29,165.0,261.0,211.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207130988239300302449211225714,30,165.0,260.0,206.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174449142066379238365812392798,31,165.0,257.0,202.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201000663472893401296087062996,32,165.0,256.0,201.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288886667124646172610099716752,33,166.0,253.0,198.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.853489871516380520486290241080,34,167.0,250.0,194.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192373935380102248665150488447,35,158.0,245.0,192.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.930601799268172477753746239921,36,158.0,239.0,194.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101523618780547573941445095796,37,157.0,243.0,190.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220503661420099913589525288193,38,160.0,243.0,194.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285116137593069476956695291967,39,162.0,234.0,189.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194464433430580370361841176368,40,161.0,240.0,185.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262073599720388939251661562086,41,163.0,238.0,193.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277726594219007408394565608296,42,158.0,233.0,192.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248393007549705803018290516806,43,158.0,239.0,187.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265757218462920702720812468523,44,156.0,232.0,185.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.648333639322559717811623861471,45,160.0,218.0,193.0,274.0
