sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.713662748477675873972280711439,294,276.0,304.0,299.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.889610557958066472529828565099,295,280.0,300.0,310.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257540595470150431239702824936,296,277.0,305.0,305.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119883868537568752221440705007,297,277.0,305.0,302.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317925938959667724747299685565,298,274.0,307.0,306.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.644757202793605108292531159882,299,275.0,309.0,308.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335996395638459237932812350837,300,273.0,308.0,307.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139402647810188517324037755854,301,269.0,308.0,309.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255989585881238576201841604974,302,269.0,312.0,306.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340216696149242907126459919907,303,266.0,307.0,305.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.616222118302526026010506462758,304,269.0,311.0,306.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148319981953349974757346354538,305,271.0,314.0,306.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279003976920408125039703030394,306,265.0,306.0,305.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200577623880470146127904713622,307,268.0,314.0,312.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264876528790945311881614519318,308,266.0,315.0,314.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323138550086480067949380906193,309,272.0,306.0,314.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288768519692693944078045810820,310,263.0,300.0,310.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172083381256651034406581443183,311,267.0,300.0,315.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227837128935035148871945020600,312,263.0,300.0,311.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165306078646710965530707141606,313,262.0,303.0,311.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249885940690268551518782051625,314,260.0,306.0,307.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216362414171431697071181096890,315,262.0,296.0,309.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300147605194577706450230616867,316,262.0,299.0,309.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197272584354079984134241671542,317,264.0,300.0,308.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.837396379823801297526306863350,318,265.0,303.0,308.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227514959980244734240874051786,319,267.0,298.0,307.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257012946792917760903514988286,320,270.0,300.0,307.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.843893088985745967719652288590,321,271.0,300.0,309.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339718512079345006203837271769,322,262.0,303.0,307.0,353.0
