sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.502918360426038718272781258637,76,287.0,307.0,305.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.780669905547225353986618562034,77,283.0,297.0,323.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.993301245831394750113329665968,78,281.0,300.0,320.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300700736386926983827618865035,79,281.0,296.0,319.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233115499416177304153730037635,80,279.0,300.0,323.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138606920885370686580126101449,81,282.0,297.0,325.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255570774932201050901345140074,82,280.0,296.0,324.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191081538539358210641422784145,83,279.0,296.0,323.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122157967635545885566039382772,84,273.0,293.0,326.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181607655180261685262899729209,85,279.0,291.0,322.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176194284742057651813450499457,86,276.0,293.0,326.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319774648379712222808112366710,87,277.0,295.0,323.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260056145815592435661091951717,88,272.0,294.0,325.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165503760141966064027107399593,89,270.0,294.0,327.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297313595976214698282954756780,90,276.0,295.0,332.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225719894952033894133491741990,91,269.0,298.0,327.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187813593223228515960229431873,92,270.0,293.0,329.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.592082128355663938215830495039,93,270.0,292.0,327.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.364783812375799188883312568281,94,268.0,292.0,326.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308249405868016887450726900358,95,270.0,299.0,340.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205762246993840772916836600532,96,268.0,292.0,326.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292757881213120038903864241387,97,270.0,296.0,326.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.450175679701924845481928656260,98,272.0,296.0,329.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318646390685420261823699461307,99,265.0,293.0,325.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221904315961710026468825107230,100,270.0,293.0,329.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205748330615366486237868021098,101,265.0,300.0,323.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181829104313735361415478956529,102,270.0,301.0,326.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252556698939240805381488656375,103,269.0,296.0,325.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322856713114777541899045946649,104,267.0,296.0,332.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.425678418744231442435150986241,105,269.0,295.0,327.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181046960548564770323066583821,106,268.0,298.0,325.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261391960620698912242031788671,107,265.0,299.0,327.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207192879997279431443695791949,108,267.0,298.0,328.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145176022752642124402724815555,109,269.0,297.0,330.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.685759666673455395640324059765,110,268.0,299.0,329.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.910669947990392851823642335203,111,269.0,300.0,327.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291917246006015803558288668082,112,271.0,301.0,330.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122184183263346685014232723392,113,270.0,300.0,332.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283700067830740165681504112792,114,273.0,300.0,324.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.920674750028708761705272348408,115,270.0,303.0,318.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279926242914813684394037185631,116,269.0,300.0,321.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.540123553449965191491996875982,117,268.0,300.0,317.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.857526739350116331415621070551,118,271.0,306.0,316.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113353801557958500569363638711,119,266.0,300.0,317.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228153091231912421791138097160,120,271.0,307.0,313.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.645214648355696131221884234444,121,274.0,306.0,312.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326766462926277858902574231678,122,273.0,306.0,315.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236944023280995667359475398748,123,270.0,302.0,312.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.519859611980459603163485347338,124,272.0,306.0,308.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208055159972991627698168323945,125,273.0,305.0,307.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.731724288590992569272622023680,126,275.0,309.0,306.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115694363774248275423146969345,127,269.0,305.0,303.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100424410369643927526215583695,128,272.0,305.0,305.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110812912968782106352952410013,129,271.0,306.0,309.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.519240105832234967993670091526,130,272.0,307.0,305.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277473140373155495144289628165,131,270.0,309.0,305.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205279183436480490729187549176,132,273.0,307.0,308.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.598339592438275209238764677402,133,273.0,309.0,305.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233830980966173973894365430155,134,274.0,305.0,308.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.962354944327889345046630067943,135,275.0,300.0,301.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.892451476171455181173302687580,136,272.0,307.0,312.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252977501569431356145468146761,137,274.0,305.0,299.0,346.0
