sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.121809989614517237617053238987,81,301.0,303.0,347.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.847599618986494021053577607580,82,301.0,309.0,348.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105869610643244911094158956528,83,301.0,318.0,319.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308717610528673889552313808005,84,301.0,320.0,321.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311773463439868848825357533509,85,293.0,313.0,323.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.822716246003357289792995367616,86,298.0,311.0,323.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282802666863081457562744169549,87,302.0,325.0,328.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272552362229532163575506220148,88,295.0,316.0,323.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.498667398579276083198197012359,89,295.0,316.0,323.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113640994635297757710016285000,90,297.0,310.0,352.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213072963987020066270095767338,91,289.0,304.0,351.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.826146700924846120081746434179,92,290.0,310.0,351.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.434059034274457013189866080737,93,286.0,308.0,349.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.734454795462456241035333807370,94,289.0,307.0,353.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237719202548028384310224095099,95,286.0,307.0,351.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289448099505693362389803224538,96,280.0,308.0,351.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145107261603248758603165973918,97,287.0,311.0,351.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221232722054841967788461272515,98,277.0,309.0,349.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.702809442924002036986685649104,99,287.0,309.0,351.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289671579307368927489483156356,100,280.0,309.0,351.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.367870200533457439318233372233,101,281.0,311.0,351.0,378.0
