sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.300486513405580414203063772053,63,194.0,282.0,233.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226054389573444138232522222877,64,189.0,274.0,227.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105994029957931506420524235592,65,190.0,282.0,230.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172099009669553628987467847238,66,187.0,280.0,231.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238156458786702566177252714376,67,180.0,282.0,226.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127248231076553137975759548026,68,177.0,280.0,226.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313789306862280459952468737276,69,179.0,282.0,230.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246746758305618227793693863850,70,173.0,279.0,239.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267451851590144464084728516308,71,167.0,281.0,239.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.995678904715897573808857822524,72,167.0,277.0,238.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157727805074513140632200645276,73,166.0,278.0,239.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180456165212148623955883833893,74,171.0,276.0,239.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.427355021576416050944229067709,75,171.0,275.0,240.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152706925356402191280722853874,76,176.0,271.0,240.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283775989695371104806356575434,77,176.0,276.0,237.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200997665130601177390349975858,78,183.0,278.0,233.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262382222787197530298356939349,79,179.0,275.0,243.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.495652338084223431593891100135,80,176.0,276.0,238.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171265549561522151343849140993,81,183.0,281.0,236.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231609219488281584351940958893,82,183.0,291.0,245.0,346.0
