sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.232385993693966677191613338646,74,190.0,270.0,216.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145335046095622738651867187945,75,183.0,263.0,223.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187053519193803688815715651345,76,185.0,264.0,224.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225361983672379051038047215237,77,181.0,262.0,215.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297140469647583700077344220747,78,189.0,261.0,217.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243301882796071711580825246146,79,183.0,264.0,218.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323821296046279922749426051306,80,187.0,264.0,222.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294263430292203001799797542532,81,184.0,261.0,223.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.466291895564427802855910743418,82,173.0,256.0,219.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.585523654383789237261907804546,83,183.0,264.0,225.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185171274976125660641668096977,84,188.0,266.0,223.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.762228430181692315601917045167,85,179.0,260.0,223.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137986072486118296732880182135,86,183.0,262.0,226.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323535648651545268718317238637,87,180.0,258.0,219.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282514570372252207507010544316,88,187.0,257.0,227.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.857423867648097538285077835594,89,178.0,264.0,218.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.583446250832652684765601341615,90,187.0,263.0,223.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106121505762257234113303553283,91,184.0,263.0,220.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237907376984117064154026510172,92,180.0,264.0,226.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247917304106029936187452770650,93,183.0,261.0,226.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100272210458328249261113942489,94,180.0,264.0,227.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315804355186389129065404709304,95,175.0,255.0,221.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.943585957626316353777801896879,96,171.0,259.0,225.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219927657693155039352597213129,97,169.0,261.0,219.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118964635099660052478689126563,98,174.0,257.0,217.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219361227038040380377359114126,99,168.0,249.0,220.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240654522450328158697949434725,100,178.0,261.0,216.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183078059158023509932152160194,101,172.0,257.0,225.0,300.0
