sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.149654078767457356723132587620,147,180.0,239.0,225.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.438377822649679869705343070065,148,173.0,241.0,223.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302979119938135135758016637975,149,179.0,243.0,221.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118983609779312659542400221718,150,181.0,241.0,218.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116835698813866370344494691957,151,180.0,238.0,224.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306922455492595501419148411484,152,177.0,239.0,224.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.954696622278877076785453430355,153,184.0,236.0,228.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147817521740318819628967938412,154,181.0,235.0,228.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237025739246368461372747951208,155,180.0,236.0,224.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333264691094073515754472487145,156,179.0,236.0,226.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222811869024220290882005407810,157,180.0,237.0,229.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262026970930987181042898728410,158,177.0,235.0,227.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137642364674250105561101657363,159,179.0,228.0,231.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206475862142881458043554156652,160,180.0,226.0,240.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110829174075751314144808451419,161,180.0,224.0,237.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141059971427647277414874607255,162,184.0,232.0,240.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129913137039322133970048973240,163,174.0,223.0,234.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246840916932110697805752061879,164,181.0,221.0,236.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120930982452338067965267466525,165,180.0,219.0,233.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210389457536638129054736664898,166,184.0,224.0,227.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122867827864595244269890962457,167,187.0,237.0,226.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316620431043489076951188907236,168,189.0,236.0,225.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183714459531093914127232671042,169,182.0,233.0,222.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337137674461075496433052750107,170,184.0,230.0,225.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175034468564463859668037680464,171,184.0,234.0,229.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300464408434859607916223996657,172,185.0,231.0,222.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109588558227081903762262364085,173,184.0,233.0,227.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265520489223752896171756684381,174,187.0,232.0,228.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102420996248357280688490172978,175,184.0,231.0,223.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199307699992088081496252047705,176,181.0,226.0,229.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211475778111348031032691056745,177,182.0,227.0,222.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.941547450635814408944930627909,178,181.0,227.0,223.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117925503619599641401460058531,179,182.0,229.0,223.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339983647484542193527320064425,180,183.0,231.0,229.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279106499314891349035965448540,181,183.0,231.0,221.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261264471164900482836296087724,182,186.0,234.0,226.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291162255515282624015339019903,183,189.0,233.0,227.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165273184041626978191571533782,184,183.0,232.0,223.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217659950021301342901241197908,185,187.0,232.0,224.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160046079898253259880371127753,186,186.0,229.0,227.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320318725327808802119692965414,187,187.0,236.0,222.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249390637468358788055372261837,188,183.0,230.0,223.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327081328725338773781579827594,189,190.0,232.0,223.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132711552914966474511610645481,190,187.0,234.0,215.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123083647895911690751042640907,191,187.0,236.0,217.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298222997726585766759820953095,192,186.0,233.0,220.0,278.0
