sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.282784462789547559688574215759,468,313.0,225.0,347.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191761702366600902960067024504,469,314.0,232.0,349.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307514830121373770068612204638,470,312.0,228.0,350.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242344507063582454240756267955,471,311.0,231.0,351.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111866657121294365894819779994,472,300.0,225.0,357.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100036641096995282611548190460,473,305.0,228.0,353.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156965155166447032995606181263,474,299.0,222.0,355.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118830367111372955354141399370,475,305.0,237.0,358.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.701051571900517049550444358429,476,297.0,232.0,362.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235106586945196803797895485700,477,289.0,230.0,358.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196484570063730189499908978451,478,288.0,236.0,369.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.926758153792841260565440539732,479,283.0,232.0,369.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165910940363563644104520108482,480,289.0,232.0,361.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250427075218160283060623126785,481,290.0,228.0,360.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244282249536889192469889291034,482,290.0,228.0,367.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103494390530223603222991518107,483,284.0,228.0,362.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290479710550312155821028626636,484,288.0,232.0,360.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214534399928556291431105201678,485,288.0,233.0,357.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164804552034096952050327638539,486,287.0,229.0,356.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287444877514662467207258179544,487,286.0,230.0,358.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288678941542047235866044791227,488,289.0,227.0,361.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101354704094763042846899365288,489,285.0,230.0,359.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210970361581560576820473268367,490,284.0,228.0,359.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314642583589104716825013703611,491,280.0,229.0,358.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165203507347335672664409176103,492,280.0,229.0,358.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128587866370550102105155966402,493,281.0,228.0,358.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120448393426473489149686681445,494,286.0,220.0,357.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256561983506996461291804756787,495,283.0,227.0,355.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106425080125478242646897267275,496,286.0,232.0,355.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.877095306172238880535422067835,497,284.0,226.0,357.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244127533762749294528301867746,498,287.0,227.0,351.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.445486827174904521897765404596,499,288.0,228.0,354.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.945128934992328013365065534348,500,286.0,232.0,351.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201101783077682517509349456136,501,285.0,230.0,358.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221899034668811873342730528400,502,286.0,237.0,360.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289301612337908478474960405188,503,287.0,239.0,355.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210678678582111162597524734126,504,285.0,236.0,352.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206583309294049979241826119633,505,284.0,236.0,354.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211431886026252638163194825027,506,281.0,235.0,351.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.804491106821334197151085332003,507,283.0,229.0,354.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174725486588059118671865609466,508,282.0,232.0,361.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.550541028623503578918061696107,509,281.0,232.0,358.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219761280344554379790707477586,510,283.0,228.0,355.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.559600865319731228754093985076,511,279.0,229.0,354.0,299.0
